,NDVI,EVI,SolarZenith,longitude,latitude,date
315,3062.0,1967.0,2017.0,-120.77194444,37.43,2010-06-19
316,5014.0,3418.0,2015.0,-120.77805555,37.405,2010-06-19
317,4221.0,2802.0,2014.0,-120.77805555,37.395,2010-06-19
318,5333.0,3802.0,1997.0,-120.30388888,37.07611111,2010-06-19
319,5894.0,3874.0,2007.0,-120.59388888,37.445,2010-06-20
320,2153.0,1363.0,2007.0,-121.01888888,37.09888888,2010-06-26
321,6613.0,4969.0,2006.0,-120.95805555,37.14388888,2010-06-26
322,2644.0,1712.0,1974.0,-120.07388888,36.93805555,2010-06-26
323,3262.0,2515.0,2186.0,-120.09194444,36.93805555,2010-06-27
324,3352.0,2236.0,2176.0,-120.21611111,37.21388888,2010-06-28
325,2153.0,1363.0,2007.0,-121.01611111,37.10111111,2010-06-28
326,2769.0,1702.0,2011.0,-120.73694444,37.39,2010-06-29
327,3968.0,2623.0,2003.0,-120.61111111,37.39111111,2010-06-29
328,2919.0,1928.0,2050.0,-120.78388888,37.43694444,2010-06-30
329,2070.0,1404.0,2020.0,-120.46305555,37.28805555,2010-07-03
330,2260.0,1429.0,2042.0,-121.01888888,37.1,2010-07-03
331,2153.0,1363.0,2007.0,-121.01611111,37.10111111,2010-07-03
332,3900.0,2648.0,2019.0,-120.79694444,37.44888888,2010-07-04
333,3253.0,2238.0,1973.0,-120.02,36.98611111,2010-07-04
334,6438.0,5027.0,2171.0,-120.275,37.08388888,2010-07-04
335,4974.0,3369.0,2020.0,-120.86194444,37.41194444,2010-07-04
336,4131.0,2486.0,2010.0,-120.41305555,37.185,2010-07-04
337,4708.0,3419.0,2009.0,-120.72388888,37.36805555,2010-07-04
338,3039.0,2120.0,2150.0,-119.98694444,37.04888888,2010-07-04
339,5303.0,3976.0,2418.0,-120.45694444,37.375,2010-07-07
340,5543.0,4087.0,2395.0,-120.43694444,37.055,2010-07-08
341,6982.0,5108.0,2174.0,-120.38305555,37.185,2010-07-08
342,3872.0,2533.0,2151.0,-120.21111111,37.01805555,2010-07-08
343,2167.0,1363.0,2206.0,-121.01611111,37.10111111,2010-07-08
344,3103.0,2023.0,2218.0,-120.62111111,37.38694444,2010-07-09
345,5098.0,3553.0,2204.0,-120.82611111,37.04694444,2010-07-09
346,3353.0,2590.0,2391.0,-120.34694444,37.08305555,2010-07-09
347,2574.0,1829.0,2418.0,-120.47694444,37.36111111,2010-07-09
348,4025.0,2750.0,2175.0,-120.635,36.98888888,2010-07-16
349,5442.0,3722.0,2170.0,-120.32388888,37.2,2010-07-16
350,5923.0,4453.0,2214.0,-120.79111111,37.42,2010-07-17
351,3370.0,2264.0,2214.0,-120.77111111,37.42611111,2010-07-17
352,4879.0,3592.0,2386.0,-120.25694444,37.08388888,2010-07-17
353,3347.0,2376.0,2184.0,-120.78194444,36.99805555,2010-07-20
354,2965.0,2018.0,2392.0,-119.885,36.975,2010-07-23
355,2682.0,1762.0,2401.0,-120.03805555,36.98694444,2010-07-25
356,2803.0,1957.0,2674.0,-120.07388888,36.99305555,2010-08-01
357,4387.0,2733.0,2735.0,-119.79305555,36.88111111,2010-08-10
358,6432.0,4962.0,2786.0,-120.55388888,37.05388888,2010-08-10
359,5174.0,2919.0,2794.0,-120.34305555,37.27388888,2010-08-10
360,3433.0,2282.0,2817.0,-120.62305555,37.39,2010-08-11
361,4211.0,2729.0,2929.0,-120.61111111,37.39194444,2010-08-11
362,7404.0,6010.0,2908.0,-120.82611111,37.05,2010-08-11
363,4672.0,3237.0,2806.0,-120.52111111,37.32805555,2010-08-11
364,6677.0,5260.0,2934.0,-120.86194444,37.32805555,2010-08-11
365,1020.0,743.0,2813.0,-120.56611111,37.36888888,2010-08-11
366,4491.0,2793.0,2898.0,-120.70805555,36.99305555,2010-08-12
367,2660.0,1807.0,2770.0,-120.19888888,37.07805555,2010-08-20
368,3161.0,2124.0,2808.0,-120.53805555,37.33888888,2010-08-21
369,4362.0,2718.0,3207.0,-120.26388888,37.055,2010-08-22
370,7109.0,4832.0,3218.0,-120.31,37.16888888,2010-08-23
