FIRE_YEAR,STAT_CAUSE_DESCR,LATITUDE,LONGITUDE,STATE,DISCOVERY_DATE,FIRE_SIZE,DATE
2010,Miscellaneous,37.06888888,-120.52805555,CA,2455349.5,0.1,2010-06-02
2010,Equipment Use,37.1,-120.98888888,CA,2455349.5,0.5,2010-06-02
2010,Miscellaneous,37.1,-120.84805555,CA,2455350.5,0.3,2010-06-03
2010,Miscellaneous,37.38888888,-120.61888888,CA,2455350.5,0.3,2010-06-03
2010,Miscellaneous,37.36305555,-120.57694444,CA,2455351.5,0.1,2010-06-04
2010,Equipment Use,37.32305555,-120.60305555,CA,2455354.5,0.1,2010-06-07
2010,Miscellaneous,37.285,-120.48388888,CA,2455356.5,0.1,2010-06-09
2010,Miscellaneous,37.40388888,-120.74805555,CA,2455356.5,0.2,2010-06-09
2010,Debris Burning,37.185,-120.43694444,CA,2455356.5,1.0,2010-06-09
2010,Arson,36.98,-120.07388888,CA,2455356.5,0.3,2010-06-09
2010,Miscellaneous,36.97111111,-120.05611111,CA,2455357.5,0.2,2010-06-10
2010,Miscellaneous,36.98694444,-120.63888888,CA,2455357.5,1.0,2010-06-10
2010,Debris Burning,37.165,-121.045,CA,2455357.5,4.0,2010-06-10
2010,Miscellaneous,37.50305555,-120.41,CA,2455358.5,1600.0,2010-06-11
2010,Miscellaneous,37.42694444,-120.895,CA,2455263.5,0.1,2010-03-08
2010,Miscellaneous,36.96694444,-120.645,CA,2455266.5,1.0,2010-03-11
2010,Miscellaneous,37.11305555,-120.49194444,CA,2455269.5,1.0,2010-03-14
2010,Miscellaneous,37.08388888,-120.31111111,CA,2455270.5,0.1,2010-03-15
2010,Equipment Use,37.49305555,-120.50111111,CA,2455277.5,0.5,2010-03-22
2010,Miscellaneous,37.39694444,-120.63194444,CA,2455280.5,1.0,2010-03-25
2010,Miscellaneous,37.22888888,-120.38388888,CA,2455280.5,0.5,2010-03-25
2010,Children,37.31305555,-120.58305555,CA,2455284.5,0.2,2010-03-29
2010,Miscellaneous,37.17111111,-120.31305555,CA,2455291.5,0.1,2010-04-05
2010,Debris Burning,37.185,-120.38305555,CA,2455295.5,0.3,2010-04-09
2010,Children,37.31805555,-120.43694444,CA,2455295.5,0.3,2010-04-09
2010,Miscellaneous,36.98694444,-120.07388888,CA,2455329.5,0.5,2010-05-13
2010,Miscellaneous,36.98888888,-120.02888888,CA,2455329.5,0.1,2010-05-13
2010,Miscellaneous,36.975,-120.06,CA,2455329.5,0.5,2010-05-13
2010,Miscellaneous,36.96888888,-120.06805555,CA,2455329.5,1.0,2010-05-13
2010,Arson,36.97694444,-120.07,CA,2455329.5,0.3,2010-05-13
2010,Equipment Use,37.37611111,-120.46805555,CA,2455329.5,1.0,2010-05-13
2010,Children,36.98611111,-120.645,CA,2455329.5,0.1,2010-05-13
2010,Miscellaneous,37.05111111,-120.63611111,CA,2455331.5,0.1,2010-05-15
2010,Miscellaneous,36.96805555,-120.06805555,CA,2455332.5,0.1,2010-05-16
2010,Miscellaneous,36.97694444,-120.07194444,CA,2455332.5,4.0,2010-05-16
2010,Miscellaneous,37.05694444,-120.95388888,CA,2455332.5,1.0,2010-05-16
2010,Miscellaneous,37.38888888,-120.62194444,CA,2455334.5,0.5,2010-05-18
2010,Miscellaneous,37.11388888,-120.32888888,CA,2455340.5,0.1,2010-05-24
2010,Miscellaneous,37.31694444,-120.73388888,CA,2455340.5,0.1,2010-05-24
2010,Miscellaneous,37.36305555,-120.57694444,CA,2455341.5,1.0,2010-05-25
2010,Debris Burning,37.42888888,-120.61305555,CA,2455341.5,1.0,2010-05-25
