,County,Population,PopulationDensity,HousingUnits,HousingOccupied,HomeValue,Income,AreaCode,WaterArea
292,Merced County,2942.0,25.0,956.0,856.0,159000.0,40274.0,209,0.0
293,Merced County,2942.0,25.0,956.0,856.0,159000.0,40274.0,209,0.0
294,Madera County,49068.0,517.0,12038.0,11231.0,132300.0,37280.0,559,0.61
295,Merced County,38776.0,150.0,12546.0,11172.0,144900.0,46933.0,209,8.53
296,Merced County,38776.0,150.0,12546.0,11172.0,144900.0,46933.0,209,8.53
297,Merced County,4985.0,329.0,1272.0,1168.0,90800.0,32500.0,209,0.0
298,Madera County,37743.0,140.0,12241.0,11283.0,165200.0,48974.0,559,0.06
299,Merced County,30805.0,648.0,11276.0,10173.0,150700.0,40864.0,209,0.1
300,Madera County,49068.0,517.0,12038.0,11231.0,132300.0,37280.0,559,0.61
301,Merced County,1099.0,7.0,502.0,392.0,274000.0,49500.0,209,3.14
302,Merced County,8942.0,51.0,3398.0,2926.0,110500.0,35462.0,209,7.26
303,Merced County,9591.0,55.0,3296.0,2897.0,107500.0,34579.0,209,0.32
304,Merced County,15457.0,276.0,4098.0,3861.0,171200.0,48462.0,209,0.23
305,Merced County,1099.0,7.0,502.0,392.0,274000.0,49500.0,209,3.14
306,Merced County,30805.0,648.0,11276.0,10173.0,150700.0,40864.0,209,0.1
307,Madera County,11908.0,61.0,4186.0,3974.0,261100.0,74538.0,559,1.13
308,Madera County,11908.0,61.0,4186.0,3974.0,261100.0,74538.0,559,1.13
309,Merced County,13074.0,337.0,3912.0,3500.0,124000.0,40842.0,209,0.08
310,Merced County,32967.0,220.0,9330.0,8408.0,101400.0,33046.0,209,1.35
311,Merced County,9591.0,55.0,3296.0,2897.0,107500.0,34579.0,209,0.32
312,Merced County,15457.0,276.0,4098.0,3861.0,171200.0,48462.0,209,0.23
313,Merced County,13074.0,337.0,3912.0,3500.0,124000.0,40842.0,209,0.08
314,Madera County,37743.0,140.0,12241.0,11283.0,165200.0,48974.0,559,0.06
315,Madera County,23833.0,88.0,5809.0,5148.0,155600.0,40327.0,559,0.92
316,Merced County,32967.0,220.0,9330.0,8408.0,101400.0,33046.0,209,1.35
317,Madera County,49068.0,517.0,12038.0,11231.0,132300.0,37280.0,559,0.61
318,Madera County,23833.0,88.0,5809.0,5148.0,155600.0,40327.0,559,0.92
319,Madera County,49068.0,517.0,12038.0,11231.0,132300.0,37280.0,559,0.61
320,Merced County,32967.0,220.0,9330.0,8408.0,101400.0,33046.0,209,1.35
321,Madera County,49068.0,517.0,12038.0,11231.0,132300.0,37280.0,559,0.61
322,Merced County,37073.0,595.0,12387.0,11250.0,155500.0,48103.0,209,0.02
323,Madera County,49068.0,517.0,12038.0,11231.0,132300.0,37280.0,559,0.61
324,Merced County,37073.0,595.0,12387.0,11250.0,155500.0,48103.0,209,0.02
